"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Brandon Chau\Documents\GitHub\Group-Project\Assets\Scripts\TestScripts\Enemy.cs", "C#", 11, 0, 1, 12
"c:\Users\Brandon Chau\Documents\GitHub\Group-Project\Assets\Scripts\TestScripts\IcePlatform.cs", "C#", 94, 5, 11, 110
"Total", "-", 105, 5, 12, 122
