"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Brandon Chau\Documents\GitHub\Group-Project\Assets\Scripts\Boostpad.cs", "C#", 5, 0, 1, 6
"c:\Users\Brandon Chau\Documents\GitHub\Group-Project\Assets\Scripts\Jumppad.cs", "C#", 5, 0, 1, 6
"c:\Users\Brandon Chau\Documents\GitHub\Group-Project\Assets\Scripts\TestScripts\GhostPlatform.cs", "C#", 2, 0, 0, 2
"c:\Users\Brandon Chau\Documents\GitHub\Group-Project\Assets\Scripts\TestScripts\IcePlatform.cs", "C#", 2, 0, -4, -2
"Total", "-", 14, 0, -2, 12
